Date,Open,High,Low,Close,Adj Close,Volume,Day_of_Week,Month,Quarter,Rolling_Mean_5,Rolling_Mean_10,Close_Lag_1,Close_Lag_5,Volume_Close_Interaction
2014-05-15,-1.2608639264756805,-1.2663709520020137,-1.2712266774367398,-1.268659548375875,-1.268659548375875,0.1260867613252693,3,5,2,-1.259447386363216,-1.2609140343822167,-1.2601365409723615,-1.2734976271520737,0.0008527952053759745
2014-05-16,-1.2679838257651248,-1.2682841772838234,-1.26894640782918,-1.2628669070557013,-1.2628669070557013,0.0947554174290449,4,5,2,-1.2584291907944916,-1.261819909316794,-1.268659548375875,-1.2679578848993225,-0.0004326488907228655
2014-05-19,-1.265269643104703,-1.2582161760161965,-1.2603220747856958,-1.253288682174157,-1.253288682174157,0.0819584563751625,0,5,2,-1.2594109353949048,-1.2621530534150642,-1.2628669070557013,-1.2483799591720908,-0.0006216146149048797
2014-05-20,-1.2541790612255082,-1.259190411698833,-1.258974734231895,-1.2611535812245485,-1.2611535812245485,0.0999632592440566,1,5,2,-1.2612210519605287,-1.261714387568991,-1.253288682174157,-1.2521029983964296,0.0006273103347097677
2014-05-21,-1.2582992700150537,-1.2568292673497312,-1.2526636304734151,-1.251730389096438,-1.251730389096438,0.0913131476016349,2,5,2,-1.2595398215853437,-1.2599774118518998,-1.2611535812245485,-1.2601365409723615,-0.0006822811642315885
2014-05-22,-1.2501050646159308,-1.2483992439971745,-1.245018785362024,-1.2455298825842278,-1.2455298825842278,0.1034357646062829,3,5,2,-1.2549138884270143,-1.257180637395115,-1.251730389096438,-1.268659548375875,-0.0005123740204946677
2014-05-23,-1.2436622834591935,-1.2425355160562488,-1.2404007672968465,-1.2369714202180733,-1.2369714202180733,0.0760222130395783,4,5,2,-1.249734791059489,-1.25408199092699,-1.2455298825842278,-1.2628669070557013,-0.0005223746602860152
2014-05-27,-1.2309724597974454,-1.228911107089906,-1.2249190786386714,-1.2230311033295354,-1.2230311033295354,0.1012844604926926,1,5,2,-1.2436832752905647,-1.2515471053427347,-1.2369714202180733,-1.253288682174157,-0.0011414471281024532
2014-05-28,-1.223216077143484,-1.2286142510697735,-1.2215796675390662,-1.226291767100684,-1.226291767100684,0.0987932356695017,2,5,2,-1.2367109124657918,-1.2489659822131602,-1.2230311033295354,-1.2611535812245485,0.0002633878431260989
2014-05-29,-1.2223784107052396,-1.225975092632445,-1.2182677232031962,-1.2200721389330955,-1.2200721389330955,0.0922751873457873,3,5,2,-1.2303792624331233,-1.2449595420092334,-1.226291767100684,-1.251730389096438,-0.0004680104439926883
